,cluster_id,cluster_size,cluster_beams,max_snr,min_snr,best_candidate_index,best_candidate_file,best_period,best_acc,best_dm,max_dm,min_dm,total_nassoc,max_distance,min_distance,fit_decay,fit_decay_error,fit_amplitude,fit_amplitude_error,spatial_rfi,low_nassoc
706,1555,1,1,9.00532531738281,9.00532531738281,2098,/beegfs/u/prajwalvp/frankenbeam_processing/frankenbeam_retile_no_17_beam_number_0_dm_225_250/overview.xml,0.00158004026479562,-5.61145973205566,232.199996948242,232.199996948242,232.199996948242,1,,,,,,,0,1
707,1557,1,1,9.00524520874023,9.00524520874023,2101,/beegfs/u/prajwalvp/frankenbeam_processing/frankenbeam_retile_no_17_beam_number_46_dm_225_250/overview.xml,0.00100184874847787,0.435778051614761,248.300003051758,248.300003051758,248.300003051758,1,,,,,,,0,1
708,1574,1,1,9.00124931335449,9.00124931335449,2122,/beegfs/u/prajwalvp/frankenbeam_processing/frankenbeam_retile_no_17_beam_number_1_dm_225_250/overview.xml,0.00200875704786032,-6.35887050628662,225.899993896484,225.899993896484,225.899993896484,1,,,,,,,0,1
709,1573,1,1,9.00168609619141,9.00168609619141,2120,/beegfs/u/prajwalvp/frankenbeam_processing/frankenbeam_retile_no_17_beam_number_33_dm_225_250/overview.xml,0.00131580669816604,-1.26288795471191,248.800003051758,248.800003051758,248.800003051758,1,,,,,,,0,1
710,1572,1,1,9.00193405151367,9.00193405151367,2119,/beegfs/u/prajwalvp/frankenbeam_processing/frankenbeam_retile_no_17_beam_number_0_dm_225_250/overview.xml,0.00140824042404677,2.70598888397217,241.600006103516,241.600006103516,241.600006103516,1,,,,,,,0,1
711,1571,1,1,9.00199604034424,9.00199604034424,2118,/beegfs/u/prajwalvp/frankenbeam_processing/frankenbeam_retile_no_17_beam_number_46_dm_225_250/overview.xml,0.00258623227519696,1.55089950561523,225.5,225.5,225.5,1,,,,,,,0,1
712,1570,1,1,9.00232887268066,9.00232887268066,2117,/beegfs/u/prajwalvp/frankenbeam_processing/frankenbeam_retile_no_17_beam_number_1_dm_225_250/overview.xml,0.00118449465838745,1.09525871276855,228.100006103516,228.100006103516,228.100006103516,1,,,,,,,0,1
713,1569,1,1,9.00264072418213,9.00264072418213,2115,/beegfs/u/prajwalvp/frankenbeam_processing/frankenbeam_retile_no_17_beam_number_32_dm_225_250/overview.xml,0.00113714966052779,-3.34524631500244,241.0,241.0,241.0,1,,,,,,,0,1
714,1568,1,1,9.00270938873291,9.00270938873291,2114,/beegfs/u/prajwalvp/frankenbeam_processing/frankenbeam_retile_no_17_beam_number_32_dm_225_250/overview.xml,0.00099017590066331,7.12650394439697,242.5,242.5,242.5,1,,,,,,,0,1
715,1567,1,1,9.00277423858643,9.00277423858643,2113,/beegfs/u/prajwalvp/frankenbeam_processing/frankenbeam_retile_no_17_beam_number_33_dm_225_250/overview.xml,0.00380529319907195,-0.463517844676971,232.699996948242,232.699996948242,232.699996948242,1,,,,,,,0,1
716,1566,1,1,9.00357627868652,9.00357627868652,2111,/beegfs/u/prajwalvp/frankenbeam_processing/frankenbeam_retile_no_17_beam_number_32_dm_225_250/overview.xml,0.00119300200634627,-1.10301399230957,247.699996948242,247.699996948242,247.699996948242,1,,,,,,,0,1
717,1565,1,1,9.00415134429932,9.00415134429932,2110,/beegfs/u/prajwalvp/frankenbeam_processing/frankenbeam_retile_no_17_beam_number_19_dm_225_250/overview.xml,0.00101878547390003,8.47344207763672,232.100006103516,232.100006103516,232.100006103516,1,,,,,,,0,1
718,1564,1,1,9.00450897216797,9.00450897216797,2109,/beegfs/u/prajwalvp/frankenbeam_processing/frankenbeam_retile_no_17_beam_number_46_dm_225_250/overview.xml,0.00137145493673135,0.539696633815765,249.600006103516,249.600006103516,249.600006103516,1,,,,,,,0,1
719,1563,1,1,9.00454139709473,9.00454139709473,2108,/beegfs/u/prajwalvp/frankenbeam_processing/frankenbeam_retile_no_17_beam_number_33_dm_225_250/overview.xml,0.00223012041411583,-8.3493013381958,240.100006103516,240.100006103516,240.100006103516,1,,,,,,,0,1
720,1562,1,1,9.00462341308594,9.00462341308594,2106,/beegfs/u/prajwalvp/frankenbeam_processing/frankenbeam_retile_no_17_beam_number_0_dm_225_250/overview.xml,0.00174520311473592,7.96983909606934,249.699996948242,249.699996948242,249.699996948242,1,,,,,,,0,1
721,1561,1,1,9.00479602813721,9.00479602813721,2105,/beegfs/u/prajwalvp/frankenbeam_processing/frankenbeam_retile_no_17_beam_number_32_dm_225_250/overview.xml,0.00100935464264324,-0.587420463562012,248.899993896484,248.899993896484,248.899993896484,1,,,,,,,0,1
722,1560,1,1,9.00491428375244,9.00491428375244,2104,/beegfs/u/prajwalvp/frankenbeam_processing/frankenbeam_retile_no_17_beam_number_0_dm_225_250/overview.xml,0.000965581134392817,-4.46836090087891,232.800003051758,232.800003051758,232.800003051758,1,,,,,,,0,1
723,1559,1,1,9.00505256652832,9.00505256652832,2103,/beegfs/u/prajwalvp/frankenbeam_processing/frankenbeam_retile_no_17_beam_number_0_dm_225_250/overview.xml,0.00323291575495904,0.000119178555905819,228.800003051758,228.800003051758,228.800003051758,2,,,,,,,0,1
724,1558,1,1,9.00517082214355,9.00517082214355,2102,/beegfs/u/prajwalvp/frankenbeam_processing/frankenbeam_retile_no_17_beam_number_1_dm_225_250/overview.xml,0.00201558870377188,-0.0878118425607681,242.399993896484,242.399993896484,242.399993896484,1,,,,,,,0,1
725,1534,1,1,9.01087188720703,9.01087188720703,2074,/beegfs/u/prajwalvp/frankenbeam_processing/frankenbeam_retile_no_17_beam_number_1_dm_225_250/overview.xml,0.00142650396302374,-0.127780482172966,225.600006103516,225.600006103516,225.600006103516,1,,,,,,,0,1
726,1533,1,1,9.01136779785156,9.01136779785156,2073,/beegfs/u/prajwalvp/frankenbeam_processing/frankenbeam_retile_no_17_beam_number_1_dm_225_250/overview.xml,0.00277983476237325,-4.39641761779785,248.699996948242,248.699996948242,248.699996948242,1,,,,,,,0,1
727,1532,1,1,9.01183795928955,9.01183795928955,2072,/beegfs/u/prajwalvp/frankenbeam_processing/frankenbeam_retile_no_17_beam_number_33_dm_225_250/overview.xml,0.00115260767637838,0.335856080055237,246.699996948242,246.699996948242,246.699996948242,1,,,,,,,0,1
728,1531,1,1,9.01208686828613,9.01208686828613,2071,/beegfs/u/prajwalvp/frankenbeam_processing/frankenbeam_retile_no_17_beam_number_4_dm_225_250/overview.xml,0.00140522027668362,-1.42675876617432,248.800003051758,248.800003051758,248.800003051758,1,,,,,,,0,1
729,1508,1,1,9.01731300354004,9.01731300354004,2046,/beegfs/u/prajwalvp/frankenbeam_processing/frankenbeam_retile_no_17_beam_number_33_dm_225_250/overview.xml,0.000985491014702667,2.37025356292725,232.399993896484,232.399993896484,232.399993896484,1,,,,,,,0,1
730,1507,1,1,9.01789569854736,9.01789569854736,2044,/beegfs/u/prajwalvp/frankenbeam_processing/frankenbeam_retile_no_17_beam_number_1_dm_225_250/overview.xml,0.000953645184155847,0.124021977186203,242.600006103516,242.600006103516,242.600006103516,1,,,,,,,0,1
731,1505,1,1,9.01813316345215,9.01813316345215,2041,/beegfs/u/prajwalvp/frankenbeam_processing/frankenbeam_retile_no_17_beam_number_4_dm_225_250/overview.xml,0.00557950729790292,7.67007541656494,235.0,235.0,235.0,1,,,,,,,0,1
732,1504,1,1,9.01838207244873,9.01838207244873,2039,/beegfs/u/prajwalvp/frankenbeam_processing/frankenbeam_retile_no_17_beam_number_0_dm_225_250/overview.xml,0.00176583425429608,-0.50748348236084,233.199996948242,233.199996948242,233.199996948242,1,,,,,,,0,1
733,1503,1,1,9.01842880249023,9.01842880249023,2038,/beegfs/u/prajwalvp/frankenbeam_processing/frankenbeam_retile_no_17_beam_number_46_dm_225_250/overview.xml,0.00161348917921321,0.439774930477142,232.699996948242,232.699996948242,232.699996948242,1,,,,,,,0,1
734,1502,1,1,9.0191764831543,9.0191764831543,2035,/beegfs/u/prajwalvp/frankenbeam_processing/frankenbeam_retile_no_17_beam_number_1_dm_225_250/overview.xml,0.00135192025650839,1.26312637329102,232.899993896484,232.899993896484,232.899993896484,1,,,,,,,0,1
735,1501,1,1,9.01926898956299,9.01926898956299,2034,/beegfs/u/prajwalvp/frankenbeam_processing/frankenbeam_retile_no_17_beam_number_0_dm_225_250/overview.xml,0.00095930506592002,-0.475508481264114,236.800003051758,236.800003051758,236.800003051758,1,,,,,,,0,1
