PULSAR CAND_NO SNR F0 CAND_F0 DM CAND_DM
Ter5A 17576 9.90969276428223 86.48163690602267 86.49904632568371 242.342 242.5849609375
Ter5A 17848 9.85795116424561 86.48163690602267 86.47402954101544 242.342 242.10383605957
Ter5D 18111 9.80581855773926 212.13512139141613 212.15357971191395 243.624088 243.550079345703
Ter5H 18183 9.79281997680664 203.00917148358255 203.02687072753915 238.000224 238.288879394531
Ter5A 18304 9.77309322357178 86.48163690602267 86.47830963134778 242.342 241.144424438477
Ter5A 18384 9.7625675201416 86.48163690602267 86.47583007812499 242.342 242.5849609375
Ter5A 18584 9.73296451568604 86.48163690602267 86.47393035888679 242.342 242.5849609375
Ter5A 18642 9.72502708435059 86.48163690602267 86.47459411621058 242.342 243.550079345703
Ter5R 18924 9.6862268447876 198.86473201005708 198.88201904296886 237.395701 237.344543457031
Ter5ak 19055 9.67008399963379 529.0706679443572 528.9541625976572 236.712145 235.935043334961
Ter5O 19187 9.65469551086426 596.435429049485 596.3146972656236 236.225469 236.873779296875
Ter5A 19208 9.65059089660645 86.48163690602267 86.49887847900384 242.342 242.10383605957
Ter5O 19230 9.64799404144287 596.435429049485 596.3146972656236 236.225469 236.873779296875
Ter5A 20075 9.55972766876221 86.48163690602267 86.48453521728527 242.342 242.5849609375
Ter5A 20475 9.52457237243652 86.48163690602267 86.49823760986338 242.342 242.5849609375
Ter5W 20600 9.51399517059326 237.80184502448066 237.8424072265624 238.965424 238.762451171875
Ter5Z 20635 9.51063823699951 406.0764269456625 406.0466918945311 238.835583 239.71240234375
Ter5aj 20748 9.50275230407715 337.96234358564925 338.10226440429716 238.623548 237.81623840332
Ter5C 21183 9.46891975402832 118.53825602162425 118.54856872558597 237.058835 235.935043334961
Ter5K 21767 9.4270658493042 336.7396303538477 336.8034973144532 234.470485 235.0
Ter5ad 21902 9.41742897033691 716.355561111983 716.5075683593753 235.53 235.0
Ter5D 22643 9.37541580200195 212.13512139141613 212.15353393554673 243.624088 243.550079345703
Ter5A 22757 9.36882400512695 86.48163690602267 86.47420501708956 242.342 241.144424438477
Ter5X 22991 9.35523891448975 333.41576615916733 333.47903442382795 239.845147 238.762451171875
Ter5aj 23122 9.34758853912354 337.96234358564925 337.90545654296903 238.623548 239.236953735352
Ter5E 23333 9.33717250823975 455.00044784254186 454.8275146484381 236.670923 237.81623840332
Ter5ak 23954 9.30542278289795 529.0706679443572 528.8251953125006 236.712145 237.81623840332
Ter5Y 23958 9.30514240264893 488.2433695045541 488.0062561035162 238.832144 237.81623840332
Ter5A 24427 9.28390884399414 86.48163690602267 86.49851226806673 242.342 243.067047119141
Ter5ad 24558 9.27813816070557 716.355561111983 716.5099487304691 235.53 236.403945922852
Ter5A 24790 9.26917266845703 86.48163690602267 86.49900817871132 242.342 242.5849609375
Ter5A 25046 9.2589111328125 86.48163690602267 86.49122619628899 242.342 242.5849609375
Ter5V 25273 9.25002098083496 482.5078642024833 482.5312194824217 238.755813 239.71240234375
Ter5D 25315 9.24854183197021 212.13512139141613 212.05485534667957 243.624088 244.034072875977
Ter5A 25857 9.22777080535889 86.48163690602267 86.49304962158239 242.342 242.5849609375
Ter5A 26087 9.21969032287598 86.48163690602267 86.49889373779327 242.342 242.10383605957
Ter5C 26216 9.2154541015625 118.53825602162425 118.54856872558597 237.058835 237.344543457031
Ter5Z 26763 9.19760322570801 406.0764269456625 406.2310485839845 238.835583 237.81623840332
Ter5W 27418 9.17748928070068 237.80184502448066 237.78646850585923 238.965424 239.236953735352
Ter5am 27510 9.17470836639404 340.8525573226131 340.7184448242192 238.177589 239.236953735352
Ter5A 27539 9.17359638214111 86.48163690602267 86.47413635253925 242.342 242.10383605957
Ter5O 27707 9.16823673248291 596.435429049485 596.6136474609391 236.225469 237.344543457031
Ter5O 27742 9.16695308685303 596.435429049485 596.3146972656236 236.225469 237.344543457031
Ter5ad 27842 9.16427993774414 716.355561111983 716.4102783203141 235.53 235.467056274414
Ter5an 27929 9.16196346282959 208.23191516220845 208.21994018554685 237.75 236.873779296875
Ter5A 27974 9.16093349456787 86.48163690602267 86.4793548583988 242.342 242.5849609375
Ter5Z 28350 9.15046787261963 406.0764269456625 406.1682434082032 238.835583 237.81623840332
Ter5A 28381 9.14929389953613 86.48163690602267 86.4815979003909 242.342 242.5849609375
Ter5Y 28456 9.14734268188477 488.2433695045541 488.29092407226466 238.832144 238.762451171875
Ter5A 28579 9.14433193206787 86.48163690602267 86.47369384765602 242.342 242.5849609375
Ter5P 28711 9.14071941375732 578.4962190246072 578.4368286132801 238.723529 238.762451171875
Ter5ak 28897 9.13558101654053 529.0706679443572 528.8807983398431 236.712145 236.403945922852
Ter5Y 28936 9.13469123840332 488.2433695045541 488.29092407226466 238.832144 238.762451171875
Ter5C 28937 9.13467502593994 118.53825602162425 118.54859161376955 237.058835 237.344543457031
Ter5af 28960 9.1338586807251 302.63192625794926 302.63391113281233 237.374967 238.288879394531
Ter5A 29037 9.13155364990234 86.48163690602267 86.49437713623044 242.342 242.5849609375
Ter5ad 30096 9.10491371154785 716.355561111983 716.6950073242201 235.53 235.467056274414
Ter5an 30450 9.09734153747559 208.23191516220845 208.27403259277327 237.75 238.288879394531
Ter5Z 30566 9.09397888183594 406.0764269456625 405.911437988282 238.835583 238.762451171875
Ter5A 30784 9.08891677856445 86.48163690602267 86.48281097412121 242.342 243.550079345703
Ter5X 31200 9.08015537261963 333.41576615916733 333.2528076171879 239.845147 239.71240234375
Ter5X 31584 9.07165145874023 333.41576615916733 333.30682373046926 239.845147 239.236953735352
Ter5A 31660 9.06998729705811 86.48163690602267 86.4990997314456 242.342 242.5849609375
Ter5A 31731 9.06838130950928 86.48163690602267 86.49829101562474 242.342 242.5849609375
Ter5U 31750 9.06802368164062 304.03006649108977 304.038543701172 235.469347 235.467056274414
Ter5Y 31956 9.06389904022217 488.2433695045541 488.4221496582023 238.832144 238.762451171875
Ter5C 32222 9.0586576461792 118.53825602162425 118.54861450195312 237.058835 236.873779296875
Ter5E 32272 9.05753803253174 455.00044784254186 455.08316040039017 236.670923 235.935043334961
Ter5A 32546 9.05215835571289 86.48163690602267 86.48236083984399 242.342 243.550079345703
Ter5P 32628 9.05063724517822 578.4962190246072 578.7097778320307 238.723529 239.71240234375
Ter5X 32711 9.04880905151367 333.41576615916733 333.3204040527339 239.845147 239.71240234375
Ter5V 33268 9.03789901733398 482.5078642024833 482.46136474609324 238.755813 239.71240234375
Ter5A 33541 9.0329532623291 86.48163690602267 86.4989089965821 242.342 242.10383605957
Ter5Z 34719 9.01182556152344 406.0764269456625 406.09237670898466 238.835583 238.762451171875
Ter5A 34760 9.01109981536865 86.48163690602267 86.49868011474621 242.342 242.5849609375
Ter5A 34864 9.00926876068115 86.48163690602267 86.50883483886705 242.342 242.10383605957
Ter5V 35075 9.00610160827637 482.5078642024833 482.4091796874999 238.755813 237.81623840332
PULSAR CAND_NO SNR F0 CAND_F0 DM CAND_DM
Ter5C 58 159.698150634766 118.53825602162425 118.54856872558597 237.058835 236.873779296875
Ter5C 160 81.4603042602539 118.53825602162425 118.54856872558597 237.058835 237.344543457031
Ter5C 188 72.2491989135742 118.53825602162425 118.54856872558597 237.058835 236.403945922852
Ter5C 272 58.2747230529785 118.53825602162425 118.54859161376955 237.058835 237.344543457031
Ter5C 346 53.4430465698242 118.53825602162425 118.54861450195312 237.058835 235.935043334961
Ter5C 425 50.613956451416 118.53825602162425 118.54856872558597 237.058835 237.344543457031
Ter5C 637 45.7248115539551 118.53825602162425 118.54861450195312 237.058835 237.344543457031
Ter5I 1202 37.8655471801758 104.49109414246252 104.5042343139648 238.57384 238.762451171875
Ter5I 1204 37.8473205566406 104.49109414246252 104.5042343139648 238.57384 238.762451171875
Ter5C 1255 37.3429946899414 118.53825602162425 118.54861450195312 237.058835 236.873779296875
Ter5C 1435 35.4948120117188 118.53825602162425 118.54856872558597 237.058835 237.344543457031
Ter5C 1449 35.352840423584 118.53825602162425 118.54856872558597 237.058835 236.873779296875
Ter5C 1528 34.5854911804199 118.53825602162425 118.54856872558597 237.058835 237.344543457031
Ter5R 2203 30.0315818786621 198.86473201005708 198.88203430175776 237.395701 237.344543457031
Ter5A 2250 29.7409343719482 86.48163690602267 86.48973083496112 242.342 243.067047119141
Ter5E 2408 28.9180641174316 455.00044784254186 455.0332946777352 236.670923 236.403945922852
Ter5C 2640 27.8527145385742 118.53825602162425 118.54856872558597 237.058835 236.403945922852
Ter5A 2842 26.9106044769287 86.48163690602267 86.49864196777361 242.342 242.5849609375
Ter5A 3004 26.2632808685303 86.48163690602267 86.4989089965821 242.342 242.10383605957
Ter5I 3202 25.4511070251465 104.49109414246252 104.50424957275393 238.57384 238.288879394531
Ter5C 3228 25.3574542999268 118.53825602162425 118.54856872558597 237.058835 236.873779296875
Ter5L 3266 25.2002029418945 445.49372347897673 445.53250122070403 237.553066 237.344543457031
Ter5aj 3519 24.252628326416 337.96234358564925 338.0179443359377 238.623548 239.236953735352
Ter5A 3641 23.7649345397949 86.48163690602267 86.50511169433621 242.342 242.5849609375
Ter5A 3659 23.7141056060791 86.48163690602267 86.49828338623018 242.342 241.623657226562
Ter5aj 3680 23.6573925018311 337.96234358564925 338.0179443359377 238.623548 239.71240234375
Ter5A 3847 23.1392402648926 86.48163690602267 86.49846649169933 242.342 241.144424438477
Ter5A 3913 22.9449100494385 86.48163690602267 86.49839019775385 242.342 242.10383605957
Ter5C 3946 22.8608112335205 118.53825602162425 118.54856872558597 237.058835 237.344543457031
Ter5aj 4029 22.6504783630371 337.96234358564925 338.0179443359377 238.623548 238.288879394531
Ter5U 4037 22.6222438812256 304.03006649108977 304.038543701172 235.469347 235.467056274414
Ter5aj 4250 22.0495185852051 337.96234358564925 338.0179443359377 238.623548 237.81623840332
Ter5A 4272 21.9966773986816 86.48163690602267 86.4989089965821 242.342 242.10383605957
Ter5C 4440 21.6173439025879 118.53825602162425 118.54861450195312 237.058835 236.873779296875
Ter5aj 4468 21.5402507781982 337.96234358564925 338.0179443359377 238.623548 239.71240234375
Ter5aj 4537 21.3279323577881 337.96234358564925 338.0179443359377 238.623548 238.762451171875
Ter5U 4562 21.2711334228516 304.03006649108977 304.038543701172 235.469347 235.467056274414
Ter5A 4579 21.2222232818604 86.48163690602267 86.5086593627929 242.342 243.550079345703
Ter5A 4712 20.8429870605469 86.48163690602267 86.49893951416021 242.342 242.5849609375
